date	close		Ale House / Brew Pub	Micro / Nano Brewery	Macro / Production Brewery, Meadery, Cidery
1801	2	0	0	2	0
1803	2	0	0	2	0
1807	3	0	0	3	0
1808	1	0	0	1	0
1810	1	0	0	1	0
1815	2	0	0	2	0
1816	1	0	0	1	0
1817	2	0	0	2	0
1819	1	0	0	1	0
1820	3	0	0	3	0
1821	2	0	0	2	0
1822	2	0	0	2	0
1823	4	0	3	1	0
1824	2	0	0	2	0
1825	3	0	0	2	1
1826	1	0	0	1	0
1827	3	0	0	3	0
1829	3	0	0	1	2
1830	2	0	0	2	0
1831	2	0	0	2	0
1833	3	0	0	3	0
1834	2	0	0	2	0
1835	2	0	0	2	0
1836	4	0	0	4	0
1837	1	0	0	1	0
1838	3	0	0	3	0
1839	1	0	0	1	0
1840	1	0	0	1	0
1842	2	0	0	2	0
1843	1	0	1	0	0
1844	2	0	0	2	0
1845	7	0	0	7	0
1846	2	0	0	2	0
1847	2	0	0	2	0
1848	3	0	0	2	1
1849	1	0	0	1	0
1850	3	0	0	3	0
1851	2	0	0	2	0
1852	15	0	0	3	12
1853	2	0	1	1	0
1854	5	0	0	5	0
1856	5	0	0	5	0
1857	3	0	0	3	0
1858	3	0	0	3	0
1859	3	0	0	3	0
1860	4	0	0	4	0
1861	3	0	0	3	0
1862	5	0	1	4	0
1863	3	0	0	3	0
1864	7	0	0	6	0
1865	3	0	0	3	0
1866	4	0	0	4	0
1867	6	0	0	5	1
1868	6	0	0	6	0
1869	3	0	0	3	0
1870	7	0	0	7	0
1871	1	0	0	1	0
1872	7	0	0	5	1
1873	7	0	1	4	0
1874	2	0	0	2	0
1875	5	0	0	5	0
1876	4	0	0	4	0
1877	5	0	0	5	0
1878	10	1	1	8	0
1879	2	0	0	2	0
1880	2	0	0	2	0
1881	2	0	0	2	0
1882	2	0	0	2	0
1883	1	0	0	1	0
1884	2	0	0	2	0
1885	7	1	0	5	0
1886	3	0	0	3	0
1887	8	0	0	8	0
1888	4	0	0	4	0
1889	3	0	0	3	0
1890	9	0	0	9	0
1892	3	0	0	3	0
1893	1	0	0	1	0
1894	5	0	0	5	0
1895	14	0	0	3	8
1896	3	0	0	3	0
1897	4	0	2	2	0
1898	3	0	0	3	0
1899	2	0	0	2	0
1900	1	0	0	1	0
1901	1	0	0	1	0
1902	2	0	0	2	0
1904	1	0	0	1	0
1905	4	0	0	4	0
1906	4	0	0	4	0
1908	1	0	0	1	0
1909	1	0	0	1	0
1910	1	0	0	1	0
1911	1	0	0	1	0
1919	4	0	0	4	0
1920	1	1	0	0	0
1921	1	1	0	0	0
1923	2	0	0	2	0
1925	2	1	0	1	0
1927	2	0	0	2	0
1929	2	0	0	2	0
1930	1	0	0	1	0
1931	1	0	0	0	1
1932	1	0	1	0	0
1933	1	0	0	0	0
1934	1	0	0	0	1
1937	1	0	0	0	1
1938	1	0	0	1	0
1941	1	0	0	1	0
1944	1	1	0	0	0
1946	1	0	0	1	0
1947	1	0	0	1	0
1949	2	0	0	2	0
1950	3	0	0	1	1
1951	7	0	7	0	0
1954	1	1	0	0	0
1955	1	0	0	1	0
1956	1	1	0	0	0
1957	3	0	0	2	1
1959	1	0	0	1	0
1961	3	0	0	3	0
1963	3	0	0	3	0
1965	1	0	1	0	0
1966	1	0	0	1	0
1969	1	0	1	0	0
1971	31	0	26	5	0
1972	1	0	0	1	0
1973	4	0	1	2	1
1974	2	0	0	2	0
1975	1	0	0	1	0
1976	17	0	9	7	0
1977	1	0	0	1	0
1978	130	0	122	7	1
1979	1	0	0	1	0
1980	12	0	7	4	1
1981	2	0	2	0	0
1982	2	0	0	2	0
1983	9	0	1	8	0
1984	21	0	1	17	2
1985	36	0	3	33	0
1986	64	0	46	16	1
1987	37	0	14	21	2
1988	40	1	9	29	1
1989	50	0	17	32	1
1990	32	0	9	21	2
1991	36	1	19	16	0
1992	43	0	19	24	0
1993	63	1	20	40	1
1994	88	0	25	56	6
1995	107	0	38	65	4
1996	156	0	60	94	1
1997	131	0	48	81	2
1998	94	0	53	39	2
1999	62	0	14	46	2
2000	54	0	9	45	0
2001	45	0	15	26	2
2002	41	0	10	30	0
2003	50	1	6	43	0
2004	71	0	20	49	2
2005	73	1	11	57	2
2006	112	1	25	81	1
2007	102	1	14	82	5
2008	159	1	36	119	2
2009	166	1	18	143	3
2010	325	7	48	261	2
2011	424	4	42	368	7
2012	560	3	74	470	6
2013	504	6	93	400	2
2014	428	5	43	375	4
2015	351	3	24	319	5
2016	129	1	9	118	1